scenario,year,co2_ppm,total_effective_forcing_wm2,anthropogenic_effective_forcing_wm2,rcmip_co2_effective_forcing_wm2
ssp126,2119,428.988007,2.77912501,2.8319238,2.47597226
ssp126,2120,428.254005,2.78863407,2.82165884,2.4660424
ssp126,2121,427.532005,2.80927561,2.81155995,2.45626024
ssp126,2122,426.821007,2.83205909,2.80162149,2.44661289
ssp126,2123,426.120008,2.80341007,2.79180955,2.43708744
ssp126,2124,425.431005,2.79817,2.78216766,2.42771147
ssp126,2125,424.751002,2.76185082,2.77264249,2.41844489
ssp126,2126,424.082006,2.7289881,2.76325655,2.40931552
ssp126,2127,423.423007,2.7078485,2.75400071,2.4003102
ssp126,2128,422.774002,2.68898862,2.74487071,2.39142937
ssp126,2129,422.134008,2.6825029,2.73584869,2.3826601
ssp126,2130,421.504008,2.69349689,2.7269507,2.37401631
ssp126,2131,420.882004,2.73621895,2.71814859,2.36547106
ssp126,2132,420.270007,2.73565264,2.70946815,2.3570524
ssp126,2133,419.667002,2.73677305,2.700892,2.34874691
ssp126,2134,419.072009,2.71139532,2.69241098,2.34054139
ssp126,2135,418.485006,2.67745955,2.68401718,2.3324361
ssp126,2136,417.907,2.63866847,2.67573042,2.32444519
ssp126,2137,417.337003,2.62110092,2.66753522,2.31655545
ssp126,2138,416.775009,2.60381514,2.65942758,2.30876723
ssp126,2139,416.221008,2.5913591,2.65140994,2.30108071
ssp126,2140,415.675006,2.58675119,2.64348186,2.29349633
ssp126,2141,415.136012,2.59946563,2.63563039,2.2860007
ssp126,2142,414.612002,2.61318393,2.62796136,2.2787052
ssp126,2143,414.108004,2.6086809,2.62055251,2.27168049
ssp126,2144,413.625,2.60627735,2.61341503,2.26494118
ssp126,2145,413.161001,2.59580789,2.60651771,2.25846045
ssp126,2146,412.715001,2.57069134,2.59984943,2.25222498
ssp126,2147,412.288007,2.56217847,2.59342896,2.24624949
ssp126,2148,411.878009,2.54352436,2.58722082,2.24050666
ssp126,2149,411.485008,2.53081113,2.5812291,2.2349971
ssp126,2150,411.109001,2.521902,2.57545419,2.22972132
ssp126,2151,410.749003,2.51681984,2.569902,2.22466605
ssp126,2152,410.402005,2.52962507,2.5645245,2.21978962
ssp126,2153,410.063003,2.55933993,2.55925427,2.21502204
ssp126,2154,409.734004,2.58087597,2.55412305,2.21039172
ssp126,2155,409.413005,2.57481399,2.54909618,2.20587088
ssp126,2156,409.102008,2.56497156,2.54420444,2.2014879
ssp126,2157,408.799004,2.54368223,2.53942394,2.19721469
ssp126,2158,408.506007,2.51517522,2.53477857,2.19307991
ssp126,2159,408.221008,2.49102796,2.53024138,2.18905549
ssp126,2160,407.945,2.47596816,2.52582285,2.18515568
ssp126,2161,407.679001,2.4728739,2.52154609,2.18139498
ssp126,2162,407.420006,2.48662726,2.51736066,2.17773127
ssp126,2163,407.171005,2.51868828,2.51331124,2.17420697
ssp126,2164,406.931007,2.54979723,2.50938782,2.17080823
ssp126,2165,406.699,2.5349162,2.50557209,2.16752096
ssp126,2166,406.475004,2.53657252,2.50186437,2.16434561
ssp126,2167,406.260005,2.49920046,2.49828015,2.16129633
ssp126,2168,406.054001,2.4716414,2.49481704,2.15837328
ssp126,2169,405.856003,2.45107233,2.49146716,2.15556253
ssp126,2170,405.667005,2.43807898,2.48823896,2.1528784
ssp126,2171,405.486005,2.43239288,2.48512016,2.15030681
ssp126,2172,405.313003,2.43965797,2.48211329,2.14784785
ssp126,2173,405.149002,2.46789735,2.47922922,2.14551594
ssp126,2174,404.992999,2.48333445,2.47645394,2.14329695
ssp126,2175,404.844002,2.49678913,2.47377352,2.14117692
ssp126,2176,404.704002,2.4949492,2.47121878,2.13918421
ssp126,2177,404.573003,2.47626203,2.46878776,2.13731903
ssp126,2178,404.449,2.45062971,2.46645361,2.13555292
ssp126,2179,404.333,2.43433696,2.46422841,2.13390033
ssp126,2180,404.225004,2.4166589,2.46211213,2.13236136
ssp126,2181,404.125002,2.40530446,2.46010709,2.13093594
ssp126,2182,404.033,2.39519119,2.45821105,2.12962421
ssp126,2183,403.948003,2.39009273,2.45640983,2.12841212
ssp126,2184,403.870997,2.39216657,2.45472026,2.1273137
ssp126,2185,403.802002,2.40465946,2.45313907,2.12632935
ssp126,2186,403.741002,2.43618355,2.45167052,2.12545885
ssp126,2187,403.687002,2.44015161,2.45029822,2.12468809
ssp126,2188,403.642001,2.44847913,2.44905668,2.12404559
ssp126,2189,403.604001,2.45422486,2.44791384,2.12350292
ssp126,2190,403.575002,2.43051772,2.44690098,2.12308858
ssp126,2191,403.552996,2.40977431,2.44598677,2.12277402
ssp126,2192,403.532,2.39592352,2.44508876,2.12247389
